id,program_id,order,code,website,enacted,enactedtext,effective,effectivetext,expired,expiredtext,file_key,file_name
2568,2645,3,"S.S. 1 for S.B. 119",http://www.legis.delaware.gov/LIS/lis145.nsf/vwLegislation/SS+1+for+SB+119/$file/legis.html?open,,07/28/2010,,,,,,
2569,2749,5,"Resolution No. 20081106-047",http://www.cityofaustin.org/edims/document.cfm?id=123737,,11/06/2008,,06/01/2009,,,,
2570,2313,2,"S.B. 494",http://www.cga.ct.gov/2010/ACT/PA/2010PA-00179-R00SB-00494-PA.htm,,05/07/2010,,07/01/2010,,,,
2573,4217,1,"ORC 5709.53",http://codes.ohio.gov/orc/5709.53,,,,06/17/2010,,,,
2574,4311,1,"ORC 5727.75",http://codes.ohio.gov/orc/5727.75,"2010-06-17 04:00:00",,"2010-06-17 04:00:00",,"2021-12-31 05:00:00",,,
2575,3679,0,"§ 65 ILCS 5/11-13-26",http://www.ilga.gov/legislation/ilcs/ilcs4.asp?DocName=006500050HArt+11+prec+Div+11&ActID=802&ChapterID=14&SeqStart=143100000&SeqEnd=150800000,,08/19/2009,,,,,,
2578,4332,0,"Madison County Land Use Ordinance (sec. 8.8)",http://www.madisoncountync.org/3354/permits/MadisonCountyLandUseOrdinance2015.pdf,,,,,,,,
2579,2986,2,"Florida Statute 220.191",http://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0200-0299/0220/Sections/0220.191.html,,6/25/2008,,7/1/2008,,,,
2580,2986,1,"Florida Statute 288.106",http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0200-0299/0288/Sections/0288.106.html,,,,,,,,
2581,4341,1,"Baltimore County Code § 11-2-203.1",https://library.municode.com/md/baltimore_county/codes/code_of_ordinances?nodeId=ART11TA_TIT2ADVATA_SUBTITLE_2PRTACRIM_S11-2-203.1PRTACRHIPEBU,,,"2006-08-24 04:00:00","(subsequently amended)",,,,
2583,3866,2,"NMAC 3.3.32",http://www.emnrd.state.nm.us/ECMD/RenewableEnergy/documents/PITRuleLanguage-final.pdf,,09/15/2010,,09/15/2010,,,,
2584,3867,1,"N.M. Stat. § 7-2A-24",http://public.nmcompcomm.us/nmpublic/gateway.dll/?f=templates&fn=default.htm,,04/09/2009,,01/01/2010,,12/31/2020,,
2585,3867,2,"NMAC 3.4.19",http://www.emnrd.state.nm.us/ECMD/RenewableEnergy/documents/CITRuleLanguage-final.pdf,,09/15/2010,,09/15/2010,,,,
2586,3564,2,"Or. Admin. R. 860-084-0100 et. seq.",http://arcweb.sos.state.or.us/pages/rules/oars_800/oar_860/860_084.html,,,,6/1/2010,,,,
2587,2336,0,"Va. Code § 2.2-2417",http://leg1.state.va.us/cgi-bin/legp504.exe?000+cod+2.2-2417,,,,,,,,
2588,2510,5,"IRS Announcement 2010-54",http://www.irs.gov/pub/irs-drop/a-10-54.pdf,,,"2010-09-01 04:00:00",,"2010-11-01 04:00:00","(application deadline expired)",,
2590,4360,1,"N.J. Stat. § 34:1B-207 et seq.",http://lis.njleg.state.nj.us/cgi-bin/om_isapi.dll?clientID=12894977&Depth=4&TD=WRAP&advquery=%2234%3a1B-207%22&headingswithhits=on&infobase=statutes.nfo&rank=&record={DA23}&softpage=Doc_Frame_Pg42&wordsaroundhits=2&x=0&y=0&zz=,,"08/19/2010 (wind energy specific portion; subsequently amended)",,"08/19/2010 (wind energy specific portion)",,,,
2593,4362,1,"Va. Code § 58.1-322.03",https://law.lis.virginia.gov/vacode/title58.1/chapter3/section58.1-322.03/,,3/23/2007,,3/23/2007,,,,
2595,4373,1,"Wyo. Stat. § 18-5-500 et seq.",https://www.wyoleg.gov/StateStatutes/StatutesDownload,,,,,,,,
2596,4373,2,"Wyo. Stat. § 1-26-815 et seq.",https://www.wyoleg.gov/StateStatutes/StatutesDownload,,,,,,,,
2600,4311,3,"OAC 122:23-1 et seq.",http://codes.ohio.gov/oac/122%3A23-1,,09/28/2010,,09/28/2010,,12/27/2010,,
2601,4381,0,"Va. Code Â§ 2.2-2417",http://leg1.state.va.us/cgi-bin/legp504.exe?000+cod+2.2-2417,,,,,,,,
2605,4384,0,"ORC 717.25",http://codes.ohio.gov/orc/717.25,,06/17/2010,,06/17/2010,,,,
2606,3715,0,"HI PUC Order, Docket 2008-0273",,,,,10/13/2010,,,,
2607,4386,2,"Renewable Resource Program Regulations",http://www.dnrec.delaware.gov/energy/services/GreenEnergy/Documents/DEC/DEC%20Renewable%20Resource%20Fund%20Program%202013%20FINAL.pdf,,,,"01/01/2012 (as amended)",,,,
2608,4386,1,"26 Del. C. § 363",http://delcode.delaware.gov/title26/c001/sc03a/index.shtml#P299_25215,,07/21/2005,,,,,,
2609,4386,3,"S.S. 1 for S.B. 119",http://www.legis.delaware.gov/LIS/lis145.nsf/vwLegislation/SS+1+for+SB+119/$file/legis.html?open,,07/28/2010,,,,,,
2610,4387,2,"Municipal Utilities' Green Energy Fund Program Regulations",https://imageserv11.team-logic.com/mediaLibrary/217/DEMEC_Green_Energy_Regs_08102015_-_Final.pdf,,,"2015-08-10 04:00:00","(as amended)",,,,
2611,4387,1,"26 Del. C. § 363",http://delcode.delaware.gov/title26/c001/sc03a/index.shtml#P299_25215,"2005-07-21 04:00:00",,,,,,,
2612,4387,3,"S.S. 1 for S.B. 119",http://www.legis.delaware.gov/LIS/lis145.nsf/vwLegislation/SS+1+for+SB+119/$file/legis.html?open,"2010-07-28 04:00:00",,,,,,,
2613,319,2,"Fla. Stat. § 489.113 et seq.",http://www.leg.state.fl.us/Statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0400-0499/0489/Sections/0489.113.html,,,,,,,,
2616,303,4,"D.C. Law 18-0223",http://dcclims1.dccouncil.us/images/00001/20100708125825.pdf,"2010-07-02 04:00:00",,"2010-10-01 04:00:00",,,,,
2617,4419,2,"21 NYCRR Part 508",http://www.getenergysmart.com/Files/RGB/GRBP%20Final%20Clean%20Regulations%20-%209-2-10.pdf,,09/03/2010,,09/22/2010,,,,
2618,3715,0,"Hawaiian Electric Companies' Tier 1 and Tier 2 Tariffs",,,,,10/22/2010,,,,
2619,2900,3,"CEDF Solar Tax Credit Rules",http://publicservice.vermont.gov/energy/ee_files/cedf/CEDF_SolarTaxCredit_announcement.pdf,,08/17/2010,,,,,,
2620,2900,4,"CEDF Solar Tax Credit Rules Round 2",http://publicservice.vermont.gov/energy/ee_files/cedf/SolarTaxCredit_Round2_Announcement.pdf,,08/25/2010,,,,,,
2621,4426,1,"Md. TAX-GENERAL Code Â§ 11-226",http://mgaleg.maryland.gov/webmga/frmStatutesText.aspx?article=gtg&section=11-226&ext=html&session=2014RS&tab=subject5,,"11/19/2007 (subsequently amended)",,"07/01/2008 (exemption did not begin until 2011)",,,,
2623,3871,2,"CMR 65-407-326",http://www.maine.gov/sos/cec/rules/65/407/407c326.doc,,10/15/2010,,10/15/2010,,,,
2624,4437,0,"Green Business Revolving Loan Fund Flyer",,,,,,,,,
2626,4439,1,"Ordinance 2009-211 E",,,4/14/2009,,,,,,
2627,4439,2,"Title VIII Chapter 327",http://search.municode.com/html/12174/level2/TITVIIICOREBUCO_CH327SUBUPR.html,,4/14/2009,,,,,,
2634,2566,2,"NMAC 3.2.247",http://164.64.110.134/parts/title03/03.002.0247.html,,,,,,,,
2635,4448,2,"SB 220",http://www.legis.state.ak.us/PDF/26/Bills/SB0220Z.PDF,,6/16/2010,,,,,,
2636,4448,1,"AS 18.56.855",,,6/16/2010,,,,,,
2637,4449,1,"Alaska Statutes 29.45.050",http://www.legis.state.ak.us/basis/statutes.asp#29.45.050,,6/16/2010,,,,,,
2640,4450,1,"NYCL Tax § 210-B.24",http://public.leginfo.state.ny.us/lawssrch.cgi?NVLWO:,,"05/21/2006 (subsequently amended)",,"01/01/2008 (2008 reinstatement)",,"12/31/2016 (2011 extension)",,
2641,3203,1,"NYCL Tax § 606 (mm)",http://public.leginfo.state.ny.us/MENUGETF.cgi?COMMONQUERY=LAWS+&TARGET=VIEW,"2006-05-21 04:00:00","(subsequently amended)","2008-01-01 05:00:00","(2008 reinstatement)","2011-12-31 05:00:00",,,
2643,4451,1,"Minn. Stat. Â§ 16B.322",https://www.revisor.mn.gov/statutes/?id=16B.322,,,,,,,,
2645,4453,2,"17 O.S. § 160.11, et seq.",http://www.oscn.net/applications/OCISWeb/index.asp?level=1&ftdb=STOKST17#OklahomaWindEnergyDevelopmentAct,,,,01/01/2011,,,,
2646,1893,1,"RSA 155-A:13",http://www.gencourt.state.nh.us/rsa/html/XII/155-A/155-A-13.htm,,07/20/2010,,07/01/2011,,,,
2647,3401,2,"K.A.R. 82-16",http://www.kssos.org/pubs/register%5C2010%5CVol_29_No_44_November_4_2010_p_1577-1616.pdf,,10/27/2010,,11/19/2010,,,,
2648,4150,0,"§ 220 ILCS 5/12-103",http://www.ilga.gov/legislation/publicacts/95/PDF/095-0481.pdf,,08/27/2007,,08/27/2007,,,,
2649,4454,1,"Public Act 095-0481",http://www.ilga.gov/legislation/publicacts/95/095-0481.htm,,08/27/2007,,08/27/2007,,,,
2650,4042,1,"H.B. 15A",http://www.myfloridahouse.gov/Sections/Documents/loaddoc.aspx?FileName=_h0015Aer.docx&DocumentType=Bill&BillNumber=0015A&Session=2010A,,11/16/2010,,11/16/2010,,12/1/2010,,
2651,1600,3,"HB 15A",http://www.myfloridahouse.gov/Sections/Documents/loaddoc.aspx?FileName=_h0015Aer.docx&DocumentType=Bill&BillNumber=0015A&Session=2010A,,11/16/2010,,11/16/2010,,,,
2652,1216,2,"Efficiency Maine Rules Chapter 103",http://www.efficiencymaine.com/docs/AgencyRules/Chapter-103-Proposed-Rule-11-15-11.pdf,,11-13-2011,,,,,,
2655,4456,1,"Carroll County Code § 209.41 et seq.",http://ccgovernment.carr.org/ccg/code//maintain/ViewCode.asp?Index=1014,"2009-04-30 04:00:00",,"2009-05-05 04:00:00",,"2014-06-30 04:00:00",,,
2656,4457,1,"New Hampshire Statutes § 362-F:10",http://www.gencourt.state.nh.us/rsa/html/XXXIV/362-F/362-F-10.htm,,,,,,,,
2657,4457,2,"NH PUC Rule 2500",http://www.puc.nh.gov/Regulatory/Rules/Puc2500.pdf,,,,,,,,
2660,3181,2,"Unofficial Translation of Puerto Rico Interconnection Rules",,,,,,,,,
2662,585,2,"§ 20 ILCS 1105/3",http://www.ilga.gov/legislation/ilcs/ilcs3.asp?ActID=295&ChapterID=5,,2005,,2005,,,,
2663,4476,1,"D.C. Code Â§ 34-1431 et seq.",,,"04/12/2005 (subsequently amended)",,04/12/2005,,,,
2665,4476,2,"DCMR Â§ 15-2900 et seq.",http://www.dcregs.dc.gov/Gateway/ChapterHome.aspx?ChapterNumber=15-29,,01/10/2008,,"01/18/2008 (subsequently amended)",,,,
2666,4478,1,"Baltimore City Council Bill 07-0602",http://static.baltimorehousing.org/pdf/bcgbs_law.pdf,,08/14/2007,,"07/01/2008 (beginning of Fiscal Year 2009)",,,,
2667,1231,3,"CDR § 7-100-106",http://regulations.delaware.gov/AdminCode/title7/100/106.shtml,,,,08/11/2006,,,,
2668,4477,1,"Program Brochure",,,,,,,,,
2669,4489,2,"COPUC Decision No. C11-0442 (Xcel Energy's Requirements)",https://www.dora.state.co.us/pls/efi/EFI_Search_UI.Show_Decision?p_session_id=&p_dec=15512,,3/30/2011,,4/26/2011,,,,
2670,4489,1,"CRS  40-3.2-101, et seq.",http://www.lexisnexis.com/hottopics/colorado/,,,,,,,,
2671,4489,4,"COPUC Decision No. R12-0900 (Black Hills Energy's Goals for 2012-2015)",https://www.dora.state.co.us/pls/efi/EFI_Search_UI.search,,8/3/2012,,8/3/2012,,,,
2672,1419,2,"NMAC 17.7.2",http://www.nmcpr.state.nm.us/nmac/parts/title17/17.007.0002.htm,,,,05/03/2010,,,,
2673,4494,1,"N.M. Stat. § 62-17-1 et seq.",http://www.nmonesource.com/nmnxtadmin/NMPublic.aspx,,,,,,,,
2674,4495,0,"N.M. Stat. § 7-2A-26",http://public.nmcompcomm.us/nmpublic/gateway.dll/?f=templates&fn=default.htm,,3/8/2010,,1/1/2011,,12/31/2019,,
2675,4496,0,"N.M. Stat. § 7-2-18.26",http://public.nmcompcomm.us/nmpublic/gateway.dll/?f=templates&fn=default.htm,,03/08/2010,,01/01/2011,,12/31/2019,,
2676,4498,0,"30 V.S.A. § 209",http://www.leg.state.vt.us/statutes/sections.cfm?Title=30&Chapter=005,,,,,,,,
2677,4500,1,"M.G.L. ch. 25, § 21",http://www.malegislature.gov/Laws/GeneralLaws/PartI/TitleII/Chapter25/Section21,,06/02/2008,,01/01/2009,,,,
2679,4501,1,"§ 220 ILCS 5/8-103",http://www.ilga.gov/legislation/ilcs/fulltext.asp?DocName=022000050K8-103,,,,,,,,
2682,4502,1,"IURC Cause No. 42693",http://www.in.gov/iurc/files/Cause_No._42693.pdf,,12/09/2009,,12/09/2009,,,,
2684,4505,1,"Fla. Stat. § 366.82",http://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0300-0399/0366/Sections/0366.82.html,,,,,,,,
2685,4505,2,"Order No. PSC-09-0855-FOF-EG",,,12/30/09,,,,,,
2686,4506,1,"Conn. Gen. Stat. Â§ 16-245a et seq.",http://www.cga.ct.gov/2011/pub/chap283.htm#Sec16-245a.htm,,"1998 (subsequently amended)",,7/1/1998,,,,
2687,4507,1,"R.I. Gen. Laws § 39-1-27.7",http://www.rilin.state.ri.us/Statutes/TITLE39/39-1/39-1-27.7.HTM,,06/29/2006,,06/29/2006,,,,
2689,4507,2,"R.I. Gen. Laws § 39-2-1.2",http://www.rilin.state.ri.us/Statutes/TITLE39/39-2/39-2-1.2.HTM,,,,,,,,
2691,3280,0,"H.R. 4853",http://www.gpo.gov/fdsys/pkg/BILLS-111hr4853eas2/pdf/BILLS-111hr4853eas2.pdf,,12/17/2010,,,,,,
2692,4510,1,"26 Del. C. § 1500 et seq.",http://delcode.delaware.gov/title26/c015/index.shtml,,07/29/2009,,,,,,
2693,4512,1,"Md. Public Utility Companies Code § 7-211",http://mgaleg.maryland.gov/webmga/frmStatutesText.aspx?article=gpu&section=7-211&ext=html&session=2015RS&tab=subject5,"2008-04-24 04:00:00",,"2008-06-01 04:00:00",,,,,
2697,4514,1,"66 Pa C.S. § 2806.1",http://www.legis.state.pa.us/WU01/LI/LI/CT/HTM/66/00.028.006.001..HTM,,10/15/2008,,11/14/2008,,,,
2698,4514,2,"PUC Order Docket No. M-2008-2069887",http://www.puc.state.pa.us/electric/pdf/Act129/EEC_Implementation_Order.pdf,,01/15/2009,,,,,,
2700,4521,0,"MCL 460.931 et seq.",http://legislature.mi.gov/doc.aspx?mcl-Act-270-of-2010,,12/14/2010,,12/14/2010,,,,
2701,4537,1,"Iowa Code § 476.6.16",http://search.legis.state.ia.us/nxt/gateway.dll/ic/1/13/15254/16743/16764/16775?f=templates&fn=default.htm,,,,,,,,
2705,4540,1,"MCL § 460.1071 et seq",http://www.legislature.mi.gov/(S(twgwg5uyukiw4nvk4ggvewzl))/mileg.aspx?page=GetObject&objectname=mcl-460-1071,,10/06/2008,"2008-10-06 04:00:00",,,,,
2707,4541,1,"Minn. Stat. § 216B.241",https://www.revisor.mn.gov/statutes/?id=216B.241,,02/22/2007,,02/22/2007,,,,
2709,4542,1,"ORC 4928.66 et seq.",http://codes.ohio.gov/orc/4928.66,,,,01/01/2009,,,,
2713,4543,0,PL15-087,http://www.cnmileg.gov.mp/documents/laws/public/15/PL15-087.pdf,,09/26/2007,,,,,,
2714,4515,1,"CA Public Utilities Code § 9615",http://www.leginfo.ca.gov/cgi-bin/displaycode?section=puc&group=09001-10000&file=9600-9620,,,,,,,,
2715,4515,2,"CA Public Resources Code § 25310",http://www.leginfo.ca.gov/cgi-bin/displaycode?section=prc&group=25001-26000&file=25300-25324,,,,,,,,
2716,4515,4,"CPUC Decision No. 08-07-047",http://docs.cpuc.ca.gov/word_pdf/FINAL_DECISION/85995.pdf,,7/31/2008,,,,,,
2717,4545,1,"AR PSC Order No. 17, Docket 08-144-U",,,12/10/2010,,,,,,
2718,4545,2,"AR PSC Order No. 15, Docket 08-137-U",,,12/10/2010,,,,,,
2719,4545,3,"AR PSC Order No. 16, Docket 08-127-U",,,12/10/10,,,,,,
2720,4548,1,"N.J. Stat. Â§ 48:3-60",,,1999,,,,,,
2721,1562,1,"CA Public Resources Code § 25400, et seq.",http://www.leginfo.ca.gov/cgi-bin/displaycode?section=prc&group=25001-26000&file=25400-25405.6,,,,,,,,
2722,4552,1,"Conn. Gen. Stat. §12-412(117)(B)",https://www.cga.ct.gov/current/pub/chap_219.htm#sec_12-412,,05/06/2010,,07/01/2010,,,,
2723,4552,2,"SN 2010 (9.1)",http://www.ct.gov/drs/cwp/view.asp?A=1514&Q=468124,,11/03/2010,,,,,,
2724,4560,1,"NJ BPU Solar Financing Board Order",http://njcleanenergy.com/files/file/Board%20Orders/7-30-08-8E.pdf,,08/07/2008,,,,,,
2725,2908,2,"Anne Arundel County Code § 4-2-309",http://www.amlegal.com/nxt/gateway.dll/Maryland/annearundelco_md/article4financetaxationandbudget/title2realpropertytaxes?f=templates$fn=default.htm$3.0$vid=amlegal:annearundelco_md$anc=JD_4-2-309,,,"2010-06-10 04:00:00",,,,,
2726,4577,1,"Anne Arundel County Code § 4-2-310",http://www.amlegal.com/nxt/gateway.dll/Maryland/annearundelco_md/article4financetaxationandbudget/title2realpropertytaxes?f=templates$fn=default.htm$3.0$vid=amlegal:annearundelco_md$anc=JD_4-2-310,"2010-10-18 04:00:00","(subsequently amended)",,,,,,
2728,4587,1,"Distributed Generation Ordinance",https://librarystage.municode.com/tx/brenham/codes/code_of_ordinances?nodeId=PTIICOOR_CH26UT_ARTVELISGE_DIV2TERE_S26-104COSY,,09/16/2010,,,,,,
2729,3894,1,"30 V.S.A. § 209",http://legislature.vermont.gov/statutes/section/30/005/00209,,,,,,,,
2730,4318,1,"ORC 4928.64 et seq.",http://codes.ohio.gov/orc/4928.64,,01/01/2009,,,,,,
2731,4318,2,"OAC 4901:1-40 et seq.",http://codes.ohio.gov/oac/4901%3A1-40,,12/10/2009,,,,,,
2732,4596,1,"LA PSC Docket No. R-28271 Subdocket B",http://lpscstar.louisiana.gov/star/ViewFile.aspx?Id=e81d68d0-0101-4c38-8b8a-8e2f0814d321,"2010-11-12 05:00:00",,"2010-11-12 05:00:00","(subsequently amended)",,,,
2733,4596,2,"LA PSC General Order No. U-22739",http://lpscstar.louisiana.gov/star/ViewFile.aspx?Id=b18cf836-d182-431f-bc71-3dd96f12b743,"1998-02-27 05:00:00",,,,,,,
2734,4021,0,"Act 7075","https://www.cleanenergyauthority.com/solar-rebates-and-incentives/virgin-islands#:~:text=In%20July%202009%20the%20U.S.,the%20building's%20water%20heating%20needs.",,07/2009,,,,,,
2735,4597,1,"Danville Ordinance No. 2010-12.04",,,11/22/2010,,,,,,
2736,2380,3,"General Order No. 258.1",https://apps.sos.wv.gov/adlaw/csr/readfile.aspx?DocId=18382&Format=PDF,"2011-05-19 04:00:00",,"2011-07-18 04:00:00",,,,,
2737,4246,4,"West Virginia General Order 258.1",,,05/19/2011,,07/18/2011,,,,
2738,651,2,"DC Code § 34-1517",http://dccode.org/simple/sections/34-1517.html,,1999,"2003-07-01 04:00:00",,,,,
2740,451,2,"NAC 704.2783 et seq.",http://www.leg.state.nv.us/nac/NAC-704.html#NAC704Sec2783,,,,1/22/2002,,,,
2741,187,1,"ORS Â§ 757.649",https://www.oregonlegislature.gov/bills_laws/lawsstatutes/2013ors757.html,,7/23/1999,,,,,,
2742,4610,1,"City of Jefferson Article XVIII Sec. 7-630 et seq",http://www.jeffcitymo.org/clerk/documents/Ord14760.pdf,,01/03/2011,,,,,,
2743,4145,0,,,,,,,,,,
2745,4500,2,"D.P.U. 15-160 through D.P.U. 15-169 Order on Three-Year Efficiency Plans",http://ma-eeac.org/wordpress/wp-content/uploads/2016-2018-Energy-Efficiency-Three-Year-Plan-Order.pdf,"2016-01-28 05:00:00",,,,,,,
